Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,224,1,4,1,1522,1,100,2,1,1,2362,7568,6,13,3,3,80,0,11,2,1,9,7,0,7
35,1204,4,3,1,1100,4,86,3,3,1,9582,10333,0,22,4,1,80,0,9,2,3,8,7,4,7
30,241,7,3,1,1609,2,48,2,1,2,2141,5348,1,12,3,2,80,1,6,3,2,6,4,1,1
35,662,1,5,1,204,3,94,3,3,2,7295,11439,1,13,3,1,80,2,10,3,3,10,8,0,6
36,852,5,4,1,51,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0
38,216,23,3,1,12,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,2,3,9,7,1,8
28,1117,8,2,1,395,4,66,3,1,4,3310,4488,1,21,4,4,80,0,5,3,3,5,3,0,2
41,509,2,4,1,616,1,62,2,2,3,6811,2112,2,17,3,1,80,0,10,3,3,8,7,0,7
32,498,3,4,1,966,3,93,3,2,1,6725,13554,1,12,3,3,80,1,8,2,4,8,7,6,3
33,267,21,3,1,1698,2,79,4,1,2,2028,13637,1,18,3,4,80,3,14,6,3,14,11,2,13
39,1218,1,1,1,531,2,52,3,5,3,19197,8213,1,14,3,3,80,1,21,3,3,21,8,1,6
22,1256,19,1,1,217,3,80,3,1,4,2323,11992,1,24,4,1,80,2,2,6,3,2,2,2,2
35,802,10,3,1,1028,2,45,3,1,4,3917,9541,1,20,4,1,80,1,3,4,2,3,2,1,2
35,662,18,4,1,1380,4,67,3,2,3,4614,23288,0,18,3,3,80,1,5,0,2,4,2,3,2
47,1379,16,4,1,987,3,64,4,2,3,5067,6759,1,19,3,3,80,0,20,3,4,19,10,2,7
35,737,10,3,1,1639,4,55,2,3,1,10306,21530,9,17,3,3,80,0,15,3,3,13,12,6,0
37,1252,19,2,1,904,1,32,3,3,2,7642,4814,1,13,3,4,80,0,10,2,3,10,0,0,9
29,906,10,3,1,994,4,92,2,1,1,2404,11479,6,20,4,3,80,0,3,5,3,0,0,0,0
20,654,21,3,1,1226,3,43,4,1,4,2678,5050,1,17,3,4,80,0,2,2,3,2,1,2,2
34,1069,2,1,1,256,4,45,2,2,3,9547,14074,1,17,3,3,80,0,10,2,2,10,9,1,9
35,1146,26,4,1,2040,3,31,3,3,4,8837,16642,1,16,3,3,80,0,9,2,3,9,0,1,7
37,674,13,3,1,1543,1,47,3,2,4,4285,3031,1,17,3,1,80,0,10,2,3,10,8,3,7
50,1246,3,3,1,644,1,99,3,5,2,18200,7999,1,11,3,3,80,1,32,2,3,32,5,10,7
33,147,2,3,1,1207,2,99,3,1,3,3600,8429,1,13,3,4,80,1,5,2,3,5,4,1,4
31,688,7,3,1,613,3,44,2,3,4,11557,25291,9,21,4,3,80,1,10,3,2,5,4,0,1
47,1093,9,3,1,1716,3,82,1,4,3,12936,24164,7,11,3,3,80,0,25,3,1,23,5,14,10
34,970,8,2,1,757,2,96,3,2,3,6142,7360,3,11,3,4,80,0,10,2,3,5,1,4,3
27,954,9,3,1,1965,4,44,3,2,4,4105,5099,1,14,3,1,80,0,7,5,3,7,7,0,7
20,500,2,3,1,922,3,49,2,1,3,2044,22052,1,13,3,4,80,0,2,3,2,2,2,0,2
60,696,7,4,1,1233,2,52,4,2,4,5220,10893,0,18,3,2,80,1,12,3,3,11,7,1,9
26,991,6,3,1,686,3,71,3,1,4,2659,17759,1,13,3,3,80,1,3,2,3,3,2,0,2
55,189,26,4,1,1973,3,71,4,5,2,19636,25811,4,18,3,1,80,1,35,0,3,10,9,1,4
33,553,5,4,1,428,4,74,3,3,2,11878,23364,6,11,3,2,80,2,12,2,3,10,6,8,8
32,964,1,2,1,1734,1,34,1,2,2,6735,12147,6,15,3,2,80,0,10,2,3,0,0,0,0
32,1062,2,3,1,471,3,75,3,1,2,2370,3956,1,13,3,3,80,1,8,4,3,8,0,0,7
47,359,2,4,1,1443,1,82,3,4,3,17169,26703,3,19,3,2,80,2,26,2,4,20,17,5,6
34,511,3,2,1,1779,4,32,1,2,4,6029,25353,5,12,3,1,80,0,6,3,3,2,2,2,2
28,1169,8,2,1,869,2,63,2,1,4,4936,23965,1,13,3,4,80,1,6,6,3,5,1,0,4
53,1168,24,4,1,1968,1,66,3,3,1,10448,5843,6,13,3,2,80,0,15,2,2,2,2,2,2
39,1089,6,3,1,1525,2,32,3,3,2,8376,9150,4,18,3,4,80,0,9,3,3,2,0,2,2
42,319,24,3,1,605,4,56,3,3,1,7406,6950,1,21,4,4,80,1,10,5,2,10,9,5,8
40,1492,20,4,1,1092,1,61,3,3,4,10322,26542,4,20,4,4,80,1,14,6,3,11,10,11,1
29,1404,20,3,1,974,3,84,3,1,4,2157,18203,1,15,3,2,80,1,3,5,3,3,1,0,2
25,882,19,1,1,1358,4,67,3,1,4,3669,9075,3,11,3,3,80,3,7,6,2,3,2,1,2
41,427,10,4,1,731,2,73,2,5,4,19141,8861,3,15,3,2,80,3,23,2,2,21,6,12,6
36,530,3,1,1,967,3,51,2,3,4,10325,5518,1,11,3,1,80,1,16,6,3,16,7,3,7
33,1141,1,3,1,52,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,3,5,3,1,3
32,976,26,4,1,333,3,100,3,2,4,4465,12069,0,18,3,1,80,0,4,2,3,3,2,2,2
38,1404,1,3,1,1961,1,59,2,1,1,2858,11473,4,14,3,1,80,0,20,3,2,1,0,0,0
49,1245,18,4,1,638,4,58,2,5,3,19502,2125,1,17,3,3,80,1,31,5,3,31,9,0,9
51,770,5,3,1,1352,3,84,3,4,2,14026,17588,1,11,3,2,80,1,33,2,3,33,9,0,10
35,1137,21,1,1,942,4,51,3,2,4,4014,19170,1,25,4,4,80,1,10,2,1,10,6,0,7
38,130,2,2,1,1125,4,32,3,3,2,7351,20619,7,16,3,3,80,0,10,2,3,1,0,0,0
39,1498,21,4,1,1390,1,44,2,2,4,6120,3567,3,12,3,4,80,2,8,2,4,5,4,1,4
29,1401,6,1,1,1192,2,54,3,1,4,3131,26342,1,13,3,1,80,1,10,5,3,10,8,0,8
33,350,5,3,1,485,4,34,3,1,3,2851,9150,1,13,3,2,80,0,1,2,3,1,0,0,0
55,177,8,1,1,1278,4,37,2,4,2,13577,25592,1,15,3,4,80,1,34,3,3,33,9,15,0
25,309,2,3,1,1987,3,82,3,1,2,2187,19655,4,14,3,3,80,0,6,3,3,2,0,1,2
32,953,5,4,1,1764,2,65,3,1,2,2718,17674,2,14,3,2,80,0,12,3,3,7,7,0,7
33,147,4,4,1,305,3,47,2,1,2,2622,13248,6,21,4,4,80,0,7,3,3,3,2,1,1
38,1333,1,3,1,950,4,80,3,3,1,13582,16292,1,13,3,2,80,1,15,3,3,15,12,5,11
40,905,19,2,1,281,3,99,3,2,4,2741,16523,8,15,3,3,80,1,15,2,4,7,2,3,7
37,799,1,3,1,623,2,59,3,3,4,7491,23848,4,17,3,4,80,0,12,3,4,6,5,1,2
37,1462,11,3,1,1411,1,94,3,1,3,3629,19106,4,18,3,1,80,0,8,6,3,3,2,0,2
24,567,2,1,1,1646,1,32,3,1,4,3760,17218,1,13,3,3,80,0,6,2,3,6,3,1,3
37,977,1,3,1,1196,4,56,2,2,4,6474,9961,1,13,3,2,80,1,14,2,2,14,8,3,11
35,776,1,4,1,100,3,32,2,2,1,4312,23016,0,14,3,2,80,0,16,2,3,15,13,2,8
43,1034,16,3,1,327,4,80,3,4,4,16064,7744,5,22,4,3,80,1,22,3,3,17,13,1,9
31,587,2,4,1,1324,4,57,3,3,3,9852,8935,1,19,3,1,80,1,10,5,2,10,8,9,6
35,1490,11,4,1,2003,4,43,3,1,3,2660,20232,7,11,3,3,80,1,5,3,3,2,2,2,2
32,1125,16,1,1,33,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,5,3,10,2,6,7
27,798,6,4,1,655,1,66,2,1,3,2187,5013,0,12,3,3,80,2,6,5,2,5,3,0,3
44,1315,3,4,1,671,4,35,3,5,4,19513,9358,4,12,3,1,80,1,26,2,4,2,2,0,1
45,364,25,3,1,1306,2,83,3,5,2,18061,13035,3,22,4,3,80,0,22,4,3,0,0,0,0
26,1443,23,3,1,72,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,2,0,0
54,584,22,5,1,1665,2,91,3,4,3,17426,18685,3,25,4,3,80,1,36,6,3,10,8,4,7
34,1239,13,4,1,1951,4,39,3,3,3,8628,22914,1,18,3,3,80,1,9,2,2,8,7,1,1
36,216,6,2,1,178,2,84,3,2,2,4941,2819,6,20,4,4,80,2,7,0,3,3,2,0,1
26,496,11,2,1,390,1,60,3,2,1,4741,22722,1,13,3,3,80,1,5,3,3,5,3,3,3
49,301,22,4,1,1655,1,72,3,4,2,16413,3498,3,16,3,2,80,2,27,2,3,4,2,1,2
38,1261,2,4,1,271,4,88,3,2,3,6553,7259,9,14,3,2,80,0,14,3,3,1,0,0,0
45,1457,7,3,1,1195,1,83,3,1,3,4477,20100,4,19,3,3,80,1,7,2,2,3,2,0,2
51,1469,8,4,1,296,2,81,2,3,2,12490,15736,5,16,3,4,80,2,16,5,1,10,9,4,7
24,477,24,3,1,1173,4,49,3,1,2,3597,6409,8,22,4,4,80,0,6,2,3,4,3,1,2
30,570,5,3,1,456,4,30,2,2,3,6118,5431,1,13,3,3,80,3,10,2,3,10,9,1,2
35,1212,8,2,1,1243,3,78,2,3,4,10377,13755,4,11,3,2,80,1,16,6,2,13,2,4,12
38,371,2,3,1,24,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,3,2,1,2
32,967,8,3,1,207,2,43,3,3,4,8998,15589,1,14,3,4,80,0,9,2,3,9,8,3,7
22,617,3,1,1,926,2,34,3,2,3,4171,10022,0,19,3,1,80,1,4,3,4,3,2,0,2
49,636,10,4,1,396,3,35,3,5,1,18665,25594,9,11,3,4,80,0,22,4,3,3,2,1,2
34,426,10,4,1,1615,3,42,4,2,4,4724,17000,1,13,3,1,80,1,9,3,3,9,7,7,2
35,464,4,2,1,53,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,3,1,0,0,0
55,436,2,1,1,842,3,37,3,2,4,5160,21519,4,16,3,3,80,0,12,3,2,9,7,7,3
40,530,1,4,1,119,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,3,2,22,3,11,11
53,970,7,3,1,730,3,59,4,4,3,14814,13514,3,19,3,3,80,0,32,3,3,5,1,1,3
24,1127,18,1,1,150,2,52,3,1,3,2774,13257,0,12,3,3,80,1,6,2,3,5,3,1,2
57,405,1,2,1,1483,2,93,4,2,3,4900,2721,0,24,4,1,80,1,13,2,2,12,9,2,8
26,1330,21,3,1,1107,1,37,3,1,3,2377,19373,1,20,4,3,80,1,1,0,2,1,1,0,0
34,1031,6,4,1,151,3,45,2,2,2,4505,15000,6,15,3,3,80,1,12,3,3,1,0,0,0
42,1265,3,3,1,894,3,95,4,2,4,5231,23726,2,13,3,2,80,1,17,1,2,5,3,1,3
56,310,7,2,1,2032,4,72,3,1,3,2339,3666,8,11,3,4,80,1,14,4,1,10,9,9,8
33,1242,8,4,1,1560,1,46,3,2,1,6392,10589,2,13,3,4,80,1,8,6,1,2,2,2,2
31,703,2,3,1,1379,3,90,2,1,4,2785,11882,7,14,3,3,80,0,3,3,4,1,0,0,0
36,1040,3,2,1,1664,4,79,4,2,1,6842,26308,6,20,4,1,80,1,13,3,3,5,4,0,4
38,243,7,4,1,709,4,46,2,2,4,4028,7791,0,20,4,1,80,0,8,2,3,7,7,0,5
35,727,3,3,1,704,3,41,2,1,3,1281,16900,1,18,3,3,80,2,1,3,3,1,0,0,0
56,441,14,4,1,161,2,72,3,1,2,4963,4510,9,18,3,1,80,3,7,2,3,5,4,4,3
29,408,23,1,1,1165,4,45,2,3,1,7336,11162,1,13,3,1,80,1,11,3,1,11,8,3,10
56,718,4,4,1,1191,4,92,3,5,1,19943,18575,4,13,3,4,80,1,28,2,3,5,2,4,2
46,228,3,3,1,1527,3,51,3,4,2,16606,11380,8,12,3,4,80,1,23,2,4,13,12,5,1
41,1206,23,2,1,1678,4,80,3,3,3,7082,11591,3,16,3,4,80,0,21,2,3,2,0,0,2
58,682,10,4,1,131,4,37,3,4,3,13872,24409,0,13,3,3,80,0,38,1,2,37,10,1,8
44,111,17,3,1,1206,4,74,1,1,3,2290,4279,2,13,3,4,80,0,6,3,3,0,0,0,0
40,299,25,4,1,1318,4,57,2,3,2,9094,17235,2,12,3,3,80,0,9,2,3,5,4,1,0
50,410,28,3,1,2055,4,39,2,3,1,10854,16586,4,13,3,2,80,1,20,3,3,3,2,2,0
46,669,9,2,1,118,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,3,9,8,4,7
35,982,1,4,1,1172,4,58,2,1,3,2258,16340,6,12,3,2,80,1,10,2,3,8,0,1,7
51,1169,7,4,1,211,2,34,2,2,3,6132,13983,2,17,3,3,80,0,10,2,3,1,0,0,0
49,1023,2,3,1,2065,4,63,2,2,2,5390,13243,2,14,3,4,80,0,17,3,2,9,6,0,8
22,1368,4,1,1,593,3,99,2,1,3,3894,9129,5,16,3,3,80,0,4,3,3,2,2,1,2
35,1349,7,2,1,1601,3,63,2,1,4,2690,7713,1,18,3,4,80,1,1,5,2,1,0,0,1
24,1287,7,3,1,647,1,55,3,1,3,2886,14168,1,16,3,4,80,1,6,4,3,6,3,1,2
35,1343,27,1,1,856,3,53,2,1,1,2559,17852,1,11,3,4,80,0,6,3,2,6,5,1,1
29,746,24,3,1,1928,3,45,4,1,1,1091,10642,1,17,3,4,80,0,1,3,3,1,0,0,0
32,267,29,4,1,2010,3,49,2,1,2,2837,15919,1,13,3,3,80,0,6,3,3,6,2,4,1
26,482,1,2,1,1893,2,90,2,1,3,2933,14908,1,13,3,3,80,1,1,3,2,1,0,1,0
45,556,25,2,1,1888,2,93,2,2,4,5906,23888,0,13,3,4,80,2,10,2,2,9,8,3,8
27,1134,16,4,1,1001,3,37,3,1,2,2811,12086,9,14,3,2,80,1,4,2,3,2,2,2,2
43,1422,2,4,1,1849,1,92,3,2,4,5675,19246,1,20,4,3,80,1,7,5,3,7,7,7,7
46,488,2,3,1,363,3,75,1,4,2,16872,14977,3,12,3,2,80,1,28,2,2,7,7,7,7
33,970,7,3,1,1114,4,30,3,2,2,4302,13401,0,17,3,3,80,1,4,3,3,3,2,0,2
33,1111,5,1,1,1395,2,61,3,2,4,9998,19293,6,13,3,1,80,0,8,2,4,5,4,1,2
45,930,9,3,1,864,4,74,3,3,1,10761,19239,4,12,3,3,80,1,18,2,3,5,4,0,2
41,1085,2,4,1,927,2,57,1,1,4,2778,17725,4,13,3,3,80,1,10,1,2,7,7,1,0
33,516,8,5,1,1515,4,69,3,2,3,6388,22049,2,17,3,1,80,0,14,6,3,0,0,0,0
47,217,3,3,1,746,4,49,3,4,3,13770,10225,9,12,3,4,80,2,28,2,2,22,2,11,13
32,371,19,3,1,1739,4,80,1,3,3,9610,3840,3,13,3,3,80,1,10,2,1,4,3,0,2
32,116,13,3,1,1234,3,77,2,1,2,2743,7331,1,20,4,3,80,1,2,2,3,2,2,2,2
34,1153,1,2,1,110,1,94,3,2,2,4325,17736,1,15,3,3,80,0,5,2,3,5,2,1,3
34,669,1,3,1,1184,4,97,2,2,1,5343,25755,0,20,4,3,80,0,14,3,3,13,9,4,9
36,845,1,5,1,479,4,45,3,2,4,6653,15276,4,15,3,2,80,0,7,6,3,1,0,0,0
37,1189,3,3,1,152,3,87,3,3,4,7428,14506,2,12,3,1,80,0,12,3,3,5,3,1,3
47,1180,25,3,1,1993,1,84,3,3,3,8633,13084,2,23,4,2,80,0,25,3,3,17,14,12,11
50,1452,11,3,1,226,3,53,3,5,2,19926,17053,3,15,3,2,80,0,21,5,3,5,4,4,4
41,1200,22,3,1,1392,4,75,3,2,4,5467,13953,3,14,3,1,80,2,12,4,2,6,2,3,3
36,894,1,4,1,1662,4,33,2,2,3,4374,15411,0,15,3,3,80,0,4,6,3,3,2,1,2
35,219,16,2,1,1886,4,44,2,2,2,4788,25388,0,11,3,4,80,0,4,2,3,3,2,0,2
48,855,4,3,1,1363,4,54,3,3,4,7898,18706,1,11,3,3,80,0,11,2,3,10,9,0,8
36,427,8,3,1,742,1,63,4,3,1,11713,20335,9,14,3,1,80,1,10,2,3,8,7,0,5
36,711,5,4,1,1651,2,42,3,3,1,8008,22792,4,12,3,3,80,2,9,6,3,3,2,0,2
50,1099,29,4,1,569,2,88,2,4,3,17046,9314,0,15,3,2,80,1,28,2,3,27,10,15,7
36,1425,14,1,1,924,3,68,3,2,4,6586,4821,0,17,3,1,80,1,17,2,2,16,8,4,11
33,827,29,4,1,1101,1,54,2,2,3,4508,3129,1,22,4,2,80,0,14,4,3,13,7,3,8
32,827,1,1,1,134,4,71,3,1,1,2956,15178,1,13,3,4,80,0,1,2,3,1,0,0,0
38,1327,2,2,1,361,4,39,2,2,4,5249,19682,3,18,3,4,80,1,13,0,3,8,7,7,5
50,1464,2,4,1,1061,2,62,3,5,3,19237,12853,2,11,3,4,80,1,29,2,2,8,1,7,7
42,570,8,3,1,809,2,66,3,5,4,18430,16225,1,13,3,2,80,1,24,4,2,24,7,14,9
48,492,16,4,1,1557,3,96,3,2,3,6439,13693,8,14,3,3,80,1,18,2,3,8,7,7,7
39,116,24,1,1,2014,1,52,3,2,4,4108,5340,7,13,3,1,80,0,18,2,3,7,7,1,7
59,1225,1,1,1,91,1,57,2,2,3,5473,24668,7,11,3,4,80,0,20,2,2,4,3,1,3
